text,category,polarity
"Manzara sahane evet ama servis rezalet. Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi. Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil. bu servise bu fiyatlar ise cok faZla. Lacivert beni kalitesinin dusukluguyle cok sasirtti",AMBIENCE#GENERAL,positive
"Manzara sahane evet ama servis rezalet. Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi. Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil. bu servise bu fiyatlar ise cok faZla. Lacivert beni kalitesinin dusukluguyle cok sasirtti",SERVICE#GENERAL,negative
"Manzara sahane evet ama servis rezalet. Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi. Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil. bu servise bu fiyatlar ise cok faZla. Lacivert beni kalitesinin dusukluguyle cok sasirtti",RESTAURANT#GENERAL,negative
"Manzara sahane evet ama servis rezalet. Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi. Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil. bu servise bu fiyatlar ise cok faZla. Lacivert beni kalitesinin dusukluguyle cok sasirtti",FOOD#QUALITY,positive
"Manzara sahane evet ama servis rezalet. Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi. Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil. bu servise bu fiyatlar ise cok faZla. Lacivert beni kalitesinin dusukluguyle cok sasirtti",FOOD#STYLE_OPTIONS,negative
"Manzara sahane evet ama servis rezalet. Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi. Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil. bu servise bu fiyatlar ise cok faZla. Lacivert beni kalitesinin dusukluguyle cok sasirtti",RESTAURANT#PRICES,negative
Nerden baslasam bilemedim. Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler. Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi. ayrica gelen kalamar soguk ve sünger gibiydi. uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem. Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,RESTAURANT#GENERAL,negative
Nerden baslasam bilemedim. Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler. Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi. ayrica gelen kalamar soguk ve sünger gibiydi. uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem. Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,FOOD#QUALITY,negative
Nerden baslasam bilemedim. Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler. Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi. ayrica gelen kalamar soguk ve sünger gibiydi. uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem. Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,SERVICE#GENERAL,negative
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim. Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar. Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor. 1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,RESTAURANT#PRICES,negative
